observableId	simulationConditionId	time	measurement	observableParameters	noiseParameters
STAT3d_active_obs	TH17	10	50.182782	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TH17	10	0.022397419	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TH17	10	0.022397419	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TH17	10	0.022397419	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	10	0.088962081	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	10	0.088962081	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	10	0.088962081	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TH17	10	0.022675067	scale_PKA_active	sigma_const
PKA_active	TH17	10	0.022675067	scale_PKA_active	sigma_const
PKA_active	TH17	10	0.022675067	scale_PKA_active	sigma_const
Free_IL6_obs	TH17	15	0.022509087	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	15	0.022509087	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	15	0.022509087	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TH17	15	0.012353087	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	15	0.012353087	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	15	0.012353087	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TH17	15	99.645337	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	15	99.645337	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	15	99.645337	scale_IL6R_Active	sigma_const
TGFbR_Active	TH17	15	0.96353253	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	15	0.96353253	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	15	0.96353253	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TH17	15	0.07075896	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TH17	15	0.07075896	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TH17	15	0.07075896	scale_pSMAD3_obs	sigma_const
